category,name,carbon,water,waste,alternatives
Clothing,Cotton T-shirt,83.33,1248,578,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Home Goods,Lamp,45.28,3207,569,Eco Lamp;Sustainable Lamp;Recycled Lamp
Groceries,Detergent,43.21,2199,545,Eco Detergent;Sustainable Detergent;Recycled Detergent
Food,Rice (1kg),28.3,775,560,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Groceries,Shampoo,7.87,2556,620,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Groceries,Detergent,72.02,1587,995,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jeans,54.95,2953,742,Eco Jeans;Sustainable Jeans;Recycled Jeans
Groceries,Shampoo,33.53,2118,226,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Food,Rice (1kg),28.58,2852,877,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Milk (1L),24.8,3856,638,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Sweater,40.74,3115,133,Eco Sweater;Sustainable Sweater;Recycled Sweater
Food,Eggs (12pcs),19.91,2889,918,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Groceries,Detergent,16.67,2805,658,Eco Detergent;Sustainable Detergent;Recycled Detergent
Electronics,Tablet,30.06,4233,853,Eco Tablet;Sustainable Tablet;Recycled Tablet
Home Goods,Mattress,33.28,3808,931,Eco Mattress;Sustainable Mattress;Recycled Mattress
Clothing,Sweater,59.44,3577,190,Eco Sweater;Sustainable Sweater;Recycled Sweater
Clothing,Jeans,86.48,2880,751,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Cotton T-shirt,59.06,1115,65,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Electronics,Headphones,76.61,4375,962,Eco Headphones;Sustainable Headphones;Recycled Headphones
Food,Beef (1kg),50.67,4115,424,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Food,Rice (1kg),33.19,4015,17,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Eggs (12pcs),22.01,4160,341,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Electronics,Headphones,70.4,4374,150,Eco Headphones;Sustainable Headphones;Recycled Headphones
Home Goods,Lamp,98.51,902,291,Eco Lamp;Sustainable Lamp;Recycled Lamp
Groceries,Shampoo,19.85,3779,881,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Smartphone,83.92,1680,701,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Electronics,Laptop,67.89,1428,308,Eco Laptop;Sustainable Laptop;Recycled Laptop
Electronics,Smartphone,59.41,4656,491,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Food,Eggs (12pcs),63.17,4217,326,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Clothing,Socks,14.86,2112,751,Eco Socks;Sustainable Socks;Recycled Socks
Groceries,Shampoo,54.94,3897,348,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Home Goods,Table,98.44,1674,693,Eco Table;Sustainable Table;Recycled Table
Clothing,Jeans,51.6,2701,73,Eco Jeans;Sustainable Jeans;Recycled Jeans
Electronics,Headphones,49.32,3949,552,Eco Headphones;Sustainable Headphones;Recycled Headphones
Clothing,Socks,22.49,3953,623,Eco Socks;Sustainable Socks;Recycled Socks
Groceries,Toothpaste,41.21,1875,228,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Food,Rice (1kg),69.89,1520,391,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Clothing,Jacket,37.06,4289,942,Eco Jacket;Sustainable Jacket;Recycled Jacket
Clothing,Jeans,25.53,3991,71,Eco Jeans;Sustainable Jeans;Recycled Jeans
Food,Eggs (12pcs),14.41,1390,799,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Electronics,Laptop,2.3,4823,572,Eco Laptop;Sustainable Laptop;Recycled Laptop
Home Goods,Chair,69.11,161,863,Eco Chair;Sustainable Chair;Recycled Chair
Groceries,Detergent,81.26,510,16,Eco Detergent;Sustainable Detergent;Recycled Detergent
Home Goods,Pillow,10.48,1683,605,Eco Pillow;Sustainable Pillow;Recycled Pillow
Food,Eggs (12pcs),91.98,4476,750,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Groceries,Detergent,41.91,3591,297,Eco Detergent;Sustainable Detergent;Recycled Detergent
Groceries,Handwash,87.55,4807,69,Eco Handwash;Sustainable Handwash;Recycled Handwash
Home Goods,Chair,32.11,4778,499,Eco Chair;Sustainable Chair;Recycled Chair
Food,Eggs (12pcs),76.78,3432,499,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Home Goods,Lamp,88.0,3140,604,Eco Lamp;Sustainable Lamp;Recycled Lamp
Home Goods,Table,46.4,2127,183,Eco Table;Sustainable Table;Recycled Table
Electronics,Tablet,78.99,4550,534,Eco Tablet;Sustainable Tablet;Recycled Tablet
Electronics,Smartphone,42.62,1342,851,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Food,Bread,47.73,1973,164,Eco Bread;Sustainable Bread;Recycled Bread
Home Goods,Table,46.45,303,358,Eco Table;Sustainable Table;Recycled Table
Clothing,Cotton T-shirt,60.88,4800,631,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Home Goods,Chair,82.06,1071,58,Eco Chair;Sustainable Chair;Recycled Chair
Clothing,Sweater,4.24,1178,470,Eco Sweater;Sustainable Sweater;Recycled Sweater
Food,Bread,31.5,140,117,Eco Bread;Sustainable Bread;Recycled Bread
Home Goods,Mattress,78.51,1634,51,Eco Mattress;Sustainable Mattress;Recycled Mattress
Clothing,Cotton T-shirt,99.19,4456,258,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Clothing,Sweater,58.49,2967,66,Eco Sweater;Sustainable Sweater;Recycled Sweater
Food,Milk (1L),98.72,1715,864,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Groceries,Detergent,62.06,4847,244,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jeans,81.57,1453,409,Eco Jeans;Sustainable Jeans;Recycled Jeans
Groceries,Handwash,68.84,3991,254,Eco Handwash;Sustainable Handwash;Recycled Handwash
Food,Milk (1L),66.26,692,579,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Food,Rice (1kg),37.05,4832,969,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Clothing,Socks,62.56,2994,91,Eco Socks;Sustainable Socks;Recycled Socks
Electronics,Laptop,30.39,3154,375,Eco Laptop;Sustainable Laptop;Recycled Laptop
Home Goods,Table,12.31,4949,454,Eco Table;Sustainable Table;Recycled Table
Food,Rice (1kg),76.21,3313,499,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Rice (1kg),21.14,3157,575,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Groceries,Detergent,39.51,1273,430,Eco Detergent;Sustainable Detergent;Recycled Detergent
Electronics,Smartwatch,61.31,214,825,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Home Goods,Lamp,36.56,3577,450,Eco Lamp;Sustainable Lamp;Recycled Lamp
Clothing,Jeans,6.06,2238,622,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Socks,70.3,1298,743,Eco Socks;Sustainable Socks;Recycled Socks
Home Goods,Mattress,67.31,4628,910,Eco Mattress;Sustainable Mattress;Recycled Mattress
Food,Bread,22.56,935,23,Eco Bread;Sustainable Bread;Recycled Bread
Clothing,Cotton T-shirt,71.87,1644,34,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Food,Beef (1kg),88.77,4366,812,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Electronics,Smartphone,50.49,1257,882,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Electronics,Smartwatch,73.03,4292,160,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Home Goods,Chair,65.18,4104,506,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Table,81.39,1625,624,Eco Table;Sustainable Table;Recycled Table
Clothing,Sweater,18.63,1533,293,Eco Sweater;Sustainable Sweater;Recycled Sweater
Home Goods,Chair,38.93,2813,53,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Chair,59.68,2132,971,Eco Chair;Sustainable Chair;Recycled Chair
Electronics,Smartwatch,73.38,4745,760,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Groceries,Toothpaste,89.36,3064,122,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Home Goods,Lamp,86.19,3326,35,Eco Lamp;Sustainable Lamp;Recycled Lamp
Clothing,Jeans,42.06,1163,763,Eco Jeans;Sustainable Jeans;Recycled Jeans
Home Goods,Lamp,21.24,2766,860,Eco Lamp;Sustainable Lamp;Recycled Lamp
Clothing,Jeans,58.66,4674,33,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Cotton T-shirt,3.72,4049,157,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Food,Bread,10.19,1710,902,Eco Bread;Sustainable Bread;Recycled Bread
Clothing,Cotton T-shirt,24.68,3888,981,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Clothing,Jacket,39.0,862,311,Eco Jacket;Sustainable Jacket;Recycled Jacket
Clothing,Cotton T-shirt,55.08,3508,478,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Clothing,Sweater,42.69,3291,112,Eco Sweater;Sustainable Sweater;Recycled Sweater
Home Goods,Chair,32.6,295,867,Eco Chair;Sustainable Chair;Recycled Chair
Clothing,Jacket,64.51,2965,233,Eco Jacket;Sustainable Jacket;Recycled Jacket
Food,Eggs (12pcs),88.27,4386,541,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Food,Eggs (12pcs),41.86,1051,173,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Electronics,Headphones,31.11,2689,767,Eco Headphones;Sustainable Headphones;Recycled Headphones
Groceries,Handwash,32.15,3060,664,Eco Handwash;Sustainable Handwash;Recycled Handwash
Groceries,Toothpaste,25.36,1828,396,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Groceries,Shampoo,6.65,2835,764,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Tablet,55.09,2962,602,Eco Tablet;Sustainable Tablet;Recycled Tablet
Home Goods,Table,39.26,1007,466,Eco Table;Sustainable Table;Recycled Table
Clothing,Jeans,95.9,2276,274,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Jacket,73.7,2141,653,Eco Jacket;Sustainable Jacket;Recycled Jacket
Clothing,Jeans,61.19,1610,909,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Jacket,60.46,3750,32,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Shampoo,90.35,4442,13,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Food,Rice (1kg),13.17,1808,879,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Clothing,Jacket,95.15,2420,350,Eco Jacket;Sustainable Jacket;Recycled Jacket
Food,Eggs (12pcs),97.62,4919,864,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Home Goods,Lamp,28.74,1199,62,Eco Lamp;Sustainable Lamp;Recycled Lamp
Groceries,Detergent,48.92,1191,931,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jacket,45.35,726,149,Eco Jacket;Sustainable Jacket;Recycled Jacket
Home Goods,Chair,20.36,4128,372,Eco Chair;Sustainable Chair;Recycled Chair
Food,Beef (1kg),7.37,3778,497,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Clothing,Jacket,15.54,3596,422,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Detergent,57.86,3212,319,Eco Detergent;Sustainable Detergent;Recycled Detergent
Electronics,Headphones,33.94,3005,31,Eco Headphones;Sustainable Headphones;Recycled Headphones
Clothing,Socks,77.3,4288,779,Eco Socks;Sustainable Socks;Recycled Socks
Food,Milk (1L),35.17,2657,276,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Electronics,Headphones,13.55,2475,850,Eco Headphones;Sustainable Headphones;Recycled Headphones
Groceries,Detergent,95.73,1563,150,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jeans,64.53,3497,608,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Sweater,49.27,948,111,Eco Sweater;Sustainable Sweater;Recycled Sweater
Clothing,Jacket,95.53,822,897,Eco Jacket;Sustainable Jacket;Recycled Jacket
Electronics,Headphones,54.32,3964,315,Eco Headphones;Sustainable Headphones;Recycled Headphones
Food,Bread,27.57,1291,244,Eco Bread;Sustainable Bread;Recycled Bread
Food,Rice (1kg),33.49,975,181,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Groceries,Tissue Paper,7.17,3226,277,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Home Goods,Chair,39.72,4587,936,Eco Chair;Sustainable Chair;Recycled Chair
Groceries,Detergent,43.74,1924,704,Eco Detergent;Sustainable Detergent;Recycled Detergent
Food,Eggs (12pcs),50.76,2880,853,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Food,Bread,42.14,366,553,Eco Bread;Sustainable Bread;Recycled Bread
Groceries,Toothpaste,63.14,517,910,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Electronics,Laptop,53.1,4549,420,Eco Laptop;Sustainable Laptop;Recycled Laptop
Clothing,Socks,76.78,2948,533,Eco Socks;Sustainable Socks;Recycled Socks
Clothing,Cotton T-shirt,99.43,2093,368,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Clothing,Sweater,69.56,2873,429,Eco Sweater;Sustainable Sweater;Recycled Sweater
Electronics,Tablet,72.23,2305,600,Eco Tablet;Sustainable Tablet;Recycled Tablet
Food,Milk (1L),22.86,1971,108,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Cotton T-shirt,7.78,1188,199,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Food,Milk (1L),78.25,1101,383,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Electronics,Headphones,91.22,1151,611,Eco Headphones;Sustainable Headphones;Recycled Headphones
Clothing,Sweater,32.54,1439,259,Eco Sweater;Sustainable Sweater;Recycled Sweater
Electronics,Laptop,77.38,4915,596,Eco Laptop;Sustainable Laptop;Recycled Laptop
Food,Beef (1kg),68.49,205,193,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Home Goods,Lamp,31.83,2346,661,Eco Lamp;Sustainable Lamp;Recycled Lamp
Home Goods,Lamp,10.37,969,587,Eco Lamp;Sustainable Lamp;Recycled Lamp
Groceries,Detergent,15.9,1564,28,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Socks,61.32,760,358,Eco Socks;Sustainable Socks;Recycled Socks
Food,Eggs (12pcs),51.59,4950,222,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Home Goods,Pillow,8.56,625,200,Eco Pillow;Sustainable Pillow;Recycled Pillow
Electronics,Laptop,24.65,4652,685,Eco Laptop;Sustainable Laptop;Recycled Laptop
Clothing,Sweater,91.26,2772,184,Eco Sweater;Sustainable Sweater;Recycled Sweater
Electronics,Smartphone,84.09,2047,330,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Clothing,Jacket,86.02,2569,236,Eco Jacket;Sustainable Jacket;Recycled Jacket
Clothing,Jacket,37.74,4892,428,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Shampoo,85.13,3693,645,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Home Goods,Chair,90.33,4666,413,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Lamp,3.2,798,506,Eco Lamp;Sustainable Lamp;Recycled Lamp
Home Goods,Chair,91.31,2402,466,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Chair,93.02,2044,328,Eco Chair;Sustainable Chair;Recycled Chair
Electronics,Laptop,13.93,4094,232,Eco Laptop;Sustainable Laptop;Recycled Laptop
Electronics,Headphones,38.02,4991,463,Eco Headphones;Sustainable Headphones;Recycled Headphones
Groceries,Shampoo,61.16,1231,146,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Clothing,Sweater,41.23,1871,592,Eco Sweater;Sustainable Sweater;Recycled Sweater
Groceries,Detergent,53.59,504,400,Eco Detergent;Sustainable Detergent;Recycled Detergent
Home Goods,Chair,51.59,3886,394,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Lamp,62.52,4935,840,Eco Lamp;Sustainable Lamp;Recycled Lamp
Home Goods,Lamp,70.31,218,535,Eco Lamp;Sustainable Lamp;Recycled Lamp
Groceries,Toothpaste,2.78,3441,916,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Electronics,Tablet,41.67,4195,609,Eco Tablet;Sustainable Tablet;Recycled Tablet
Home Goods,Lamp,39.33,230,988,Eco Lamp;Sustainable Lamp;Recycled Lamp
Home Goods,Table,57.97,4225,552,Eco Table;Sustainable Table;Recycled Table
Clothing,Socks,30.19,3025,602,Eco Socks;Sustainable Socks;Recycled Socks
Groceries,Shampoo,27.29,4548,111,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Tablet,65.98,342,522,Eco Tablet;Sustainable Tablet;Recycled Tablet
Electronics,Laptop,41.66,2523,104,Eco Laptop;Sustainable Laptop;Recycled Laptop
Food,Rice (1kg),24.65,3416,430,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Clothing,Jeans,1.03,1613,316,Eco Jeans;Sustainable Jeans;Recycled Jeans
Groceries,Detergent,21.07,914,167,Eco Detergent;Sustainable Detergent;Recycled Detergent
Home Goods,Mattress,32.03,683,265,Eco Mattress;Sustainable Mattress;Recycled Mattress
Food,Beef (1kg),42.69,1629,194,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Home Goods,Chair,73.61,2607,259,Eco Chair;Sustainable Chair;Recycled Chair
Food,Bread,5.26,3057,508,Eco Bread;Sustainable Bread;Recycled Bread
Electronics,Headphones,88.78,4810,27,Eco Headphones;Sustainable Headphones;Recycled Headphones
Clothing,Socks,23.12,1109,507,Eco Socks;Sustainable Socks;Recycled Socks
Home Goods,Pillow,75.52,4684,443,Eco Pillow;Sustainable Pillow;Recycled Pillow
Groceries,Shampoo,9.33,3758,251,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Clothing,Jacket,50.19,4297,737,Eco Jacket;Sustainable Jacket;Recycled Jacket
Home Goods,Lamp,11.25,3510,924,Eco Lamp;Sustainable Lamp;Recycled Lamp
Food,Eggs (12pcs),5.01,1272,279,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
