category,name,carbon,water,waste,alternatives
Food,Beef (1kg),79.13,4871,79,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Groceries,Shampoo,49.12,2777,599,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Tablet,70.51,2919,930,Eco Tablet;Sustainable Tablet;Recycled Tablet
Clothing,Socks,14.36,4987,546,Eco Socks;Sustainable Socks;Recycled Socks
Clothing,Jeans,45.06,4688,253,Eco Jeans;Sustainable Jeans;Recycled Jeans
Food,Rice (1kg),78.58,1401,239,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Bread,5.81,2993,317,Eco Bread;Sustainable Bread;Recycled Bread
Electronics,Tablet,31.37,2217,676,Eco Tablet;Sustainable Tablet;Recycled Tablet
Electronics,Smartwatch,58.71,446,309,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Groceries,Detergent,77.45,2912,179,Eco Detergent;Sustainable Detergent;Recycled Detergent
Food,Beef (1kg),63.81,558,582,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Clothing,Sweater,46.18,2031,250,Eco Sweater;Sustainable Sweater;Recycled Sweater
Groceries,Shampoo,32.82,1153,760,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Laptop,71.77,2666,229,Eco Laptop;Sustainable Laptop;Recycled Laptop
Groceries,Detergent,1.98,1555,250,Eco Detergent;Sustainable Detergent;Recycled Detergent
Food,Rice (1kg),62.63,2233,405,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Home Goods,Mattress,9.6,723,475,Eco Mattress;Sustainable Mattress;Recycled Mattress
Food,Milk (1L),36.87,4180,697,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Electronics,Smartphone,37.48,3009,67,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Electronics,Tablet,60.67,3958,866,Eco Tablet;Sustainable Tablet;Recycled Tablet
Groceries,Handwash,64.37,1711,175,Eco Handwash;Sustainable Handwash;Recycled Handwash
Home Goods,Mattress,18.16,988,410,Eco Mattress;Sustainable Mattress;Recycled Mattress
Electronics,Headphones,19.35,4277,882,Eco Headphones;Sustainable Headphones;Recycled Headphones
Home Goods,Chair,29.25,3507,867,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Lamp,6.15,4010,153,Eco Lamp;Sustainable Lamp;Recycled Lamp
Clothing,Cotton T-shirt,81.6,4788,794,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Food,Milk (1L),92.77,3836,465,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Sweater,26.37,171,396,Eco Sweater;Sustainable Sweater;Recycled Sweater
Clothing,Socks,65.12,1313,240,Eco Socks;Sustainable Socks;Recycled Socks
Clothing,Jeans,21.08,2769,401,Eco Jeans;Sustainable Jeans;Recycled Jeans
Electronics,Headphones,24.16,751,376,Eco Headphones;Sustainable Headphones;Recycled Headphones
Clothing,Jacket,13.16,3179,990,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Toothpaste,5.79,3047,127,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Home Goods,Table,44.38,4424,756,Eco Table;Sustainable Table;Recycled Table
Groceries,Toothpaste,39.31,988,11,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Food,Rice (1kg),1.47,4312,887,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Home Goods,Pillow,64.19,3913,932,Eco Pillow;Sustainable Pillow;Recycled Pillow
Electronics,Headphones,79.31,2503,120,Eco Headphones;Sustainable Headphones;Recycled Headphones
Clothing,Jacket,75.23,3155,833,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Handwash,4.74,4962,887,Eco Handwash;Sustainable Handwash;Recycled Handwash
Groceries,Tissue Paper,11.41,2614,573,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Clothing,Cotton T-shirt,50.07,3525,679,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Electronics,Headphones,10.57,2533,48,Eco Headphones;Sustainable Headphones;Recycled Headphones
Electronics,Headphones,23.79,2429,727,Eco Headphones;Sustainable Headphones;Recycled Headphones
Groceries,Handwash,42.37,4569,60,Eco Handwash;Sustainable Handwash;Recycled Handwash
Clothing,Socks,31.87,1386,264,Eco Socks;Sustainable Socks;Recycled Socks
Home Goods,Chair,74.15,2317,962,Eco Chair;Sustainable Chair;Recycled Chair
Electronics,Smartphone,6.82,4656,360,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Groceries,Shampoo,51.0,4370,219,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Smartwatch,71.31,3120,571,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Electronics,Headphones,9.78,2295,621,Eco Headphones;Sustainable Headphones;Recycled Headphones
Clothing,Socks,72.29,3334,735,Eco Socks;Sustainable Socks;Recycled Socks
Food,Milk (1L),64.35,4633,768,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Jeans,1.92,2391,193,Eco Jeans;Sustainable Jeans;Recycled Jeans
Clothing,Cotton T-shirt,56.0,3533,922,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Clothing,Sweater,46.36,4564,285,Eco Sweater;Sustainable Sweater;Recycled Sweater
Groceries,Handwash,40.04,3999,189,Eco Handwash;Sustainable Handwash;Recycled Handwash
Electronics,Tablet,28.3,4804,978,Eco Tablet;Sustainable Tablet;Recycled Tablet
Electronics,Smartwatch,70.01,1315,823,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Groceries,Toothpaste,13.83,242,803,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Clothing,Jacket,19.41,2700,910,Eco Jacket;Sustainable Jacket;Recycled Jacket
Electronics,Headphones,46.93,991,728,Eco Headphones;Sustainable Headphones;Recycled Headphones
Food,Rice (1kg),72.38,2835,770,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Groceries,Toothpaste,80.37,4010,172,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Clothing,Jeans,81.88,3643,71,Eco Jeans;Sustainable Jeans;Recycled Jeans
Home Goods,Chair,20.39,1771,285,Eco Chair;Sustainable Chair;Recycled Chair
Groceries,Shampoo,23.34,3277,478,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Groceries,Handwash,6.79,3535,545,Eco Handwash;Sustainable Handwash;Recycled Handwash
Groceries,Shampoo,7.32,3436,500,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Groceries,Tissue Paper,60.62,1423,611,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Clothing,Socks,31.71,3455,107,Eco Socks;Sustainable Socks;Recycled Socks
Home Goods,Lamp,69.02,3719,380,Eco Lamp;Sustainable Lamp;Recycled Lamp
Home Goods,Chair,57.01,679,899,Eco Chair;Sustainable Chair;Recycled Chair
Groceries,Tissue Paper,54.45,1980,549,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Home Goods,Lamp,62.05,3230,376,Eco Lamp;Sustainable Lamp;Recycled Lamp
Electronics,Smartphone,9.53,1216,948,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Home Goods,Mattress,69.47,1525,676,Eco Mattress;Sustainable Mattress;Recycled Mattress
Groceries,Shampoo,37.05,137,88,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Food,Beef (1kg),59.36,188,606,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Groceries,Shampoo,26.11,3365,49,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Clothing,Jeans,99.58,1420,555,Eco Jeans;Sustainable Jeans;Recycled Jeans
Electronics,Laptop,55.87,3906,207,Eco Laptop;Sustainable Laptop;Recycled Laptop
Home Goods,Lamp,81.28,3684,27,Eco Lamp;Sustainable Lamp;Recycled Lamp
Clothing,Socks,80.14,1998,434,Eco Socks;Sustainable Socks;Recycled Socks
Electronics,Tablet,95.68,2084,983,Eco Tablet;Sustainable Tablet;Recycled Tablet
Home Goods,Pillow,23.53,2293,541,Eco Pillow;Sustainable Pillow;Recycled Pillow
Home Goods,Mattress,55.24,1777,189,Eco Mattress;Sustainable Mattress;Recycled Mattress
Clothing,Cotton T-shirt,83.51,4235,680,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Food,Bread,27.37,4072,847,Eco Bread;Sustainable Bread;Recycled Bread
Groceries,Shampoo,29.49,2643,183,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Groceries,Tissue Paper,10.75,2617,488,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Electronics,Headphones,93.49,890,117,Eco Headphones;Sustainable Headphones;Recycled Headphones
Home Goods,Chair,77.74,2882,162,Eco Chair;Sustainable Chair;Recycled Chair
Groceries,Toothpaste,87.5,3994,366,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Food,Bread,23.36,404,711,Eco Bread;Sustainable Bread;Recycled Bread
Clothing,Cotton T-shirt,52.57,4636,814,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Clothing,Socks,5.27,2602,375,Eco Socks;Sustainable Socks;Recycled Socks
Home Goods,Chair,2.5,4411,910,Eco Chair;Sustainable Chair;Recycled Chair
Food,Rice (1kg),83.55,3461,512,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Eggs (12pcs),57.13,741,235,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Groceries,Handwash,31.35,791,233,Eco Handwash;Sustainable Handwash;Recycled Handwash
Electronics,Smartphone,90.25,2773,398,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Food,Bread,55.91,2525,694,Eco Bread;Sustainable Bread;Recycled Bread
Groceries,Toothpaste,35.91,3107,664,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Home Goods,Table,61.11,4322,899,Eco Table;Sustainable Table;Recycled Table
Home Goods,Lamp,25.88,445,573,Eco Lamp;Sustainable Lamp;Recycled Lamp
Electronics,Smartwatch,28.13,116,469,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Food,Rice (1kg),56.2,3118,802,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Electronics,Smartphone,78.8,946,352,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Groceries,Shampoo,1.34,793,498,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Laptop,13.04,1489,604,Eco Laptop;Sustainable Laptop;Recycled Laptop
Food,Beef (1kg),96.71,2568,315,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Clothing,Cotton T-shirt,47.92,2181,321,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Groceries,Toothpaste,68.94,560,964,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Electronics,Headphones,2.14,2398,102,Eco Headphones;Sustainable Headphones;Recycled Headphones
Home Goods,Chair,29.9,4757,163,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Pillow,7.15,2980,777,Eco Pillow;Sustainable Pillow;Recycled Pillow
Home Goods,Chair,2.66,2344,430,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Chair,94.72,4405,574,Eco Chair;Sustainable Chair;Recycled Chair
Home Goods,Lamp,33.21,3448,436,Eco Lamp;Sustainable Lamp;Recycled Lamp
Electronics,Tablet,6.48,625,196,Eco Tablet;Sustainable Tablet;Recycled Tablet
Clothing,Jacket,54.57,4530,889,Eco Jacket;Sustainable Jacket;Recycled Jacket
Food,Eggs (12pcs),39.38,3857,434,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Home Goods,Table,20.23,253,879,Eco Table;Sustainable Table;Recycled Table
Clothing,Jeans,71.07,835,624,Eco Jeans;Sustainable Jeans;Recycled Jeans
Groceries,Shampoo,15.06,3296,330,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Groceries,Tissue Paper,42.04,2074,176,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Food,Bread,63.15,198,331,Eco Bread;Sustainable Bread;Recycled Bread
Home Goods,Mattress,29.89,4415,109,Eco Mattress;Sustainable Mattress;Recycled Mattress
Electronics,Smartphone,94.74,709,629,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Food,Milk (1L),56.31,4343,569,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Groceries,Detergent,85.09,4998,274,Eco Detergent;Sustainable Detergent;Recycled Detergent
Groceries,Shampoo,27.64,3497,236,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Food,Milk (1L),91.75,2820,978,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Groceries,Tissue Paper,92.9,575,871,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Groceries,Shampoo,37.52,4235,313,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Groceries,Detergent,33.57,1826,131,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jacket,87.03,3156,816,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Detergent,46.17,4819,519,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Socks,28.0,4696,662,Eco Socks;Sustainable Socks;Recycled Socks
Electronics,Headphones,55.28,1155,403,Eco Headphones;Sustainable Headphones;Recycled Headphones
Groceries,Handwash,29.18,3324,728,Eco Handwash;Sustainable Handwash;Recycled Handwash
Clothing,Socks,49.26,2335,217,Eco Socks;Sustainable Socks;Recycled Socks
Groceries,Shampoo,95.05,2810,250,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Electronics,Tablet,6.12,2331,580,Eco Tablet;Sustainable Tablet;Recycled Tablet
Groceries,Toothpaste,60.22,297,404,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Groceries,Toothpaste,30.55,934,700,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Food,Milk (1L),50.54,1064,164,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Cotton T-shirt,47.9,2192,758,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Home Goods,Mattress,39.82,1389,585,Eco Mattress;Sustainable Mattress;Recycled Mattress
Food,Rice (1kg),74.49,4031,335,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Food,Bread,62.65,1559,558,Eco Bread;Sustainable Bread;Recycled Bread
Groceries,Detergent,2.58,3660,279,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Sweater,78.14,1406,511,Eco Sweater;Sustainable Sweater;Recycled Sweater
Electronics,Smartphone,20.8,648,778,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Food,Beef (1kg),31.06,1200,487,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Electronics,Tablet,98.1,2866,200,Eco Tablet;Sustainable Tablet;Recycled Tablet
Food,Eggs (12pcs),77.06,2051,88,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Home Goods,Pillow,34.14,4975,353,Eco Pillow;Sustainable Pillow;Recycled Pillow
Food,Beef (1kg),72.34,1428,113,Eco Beef (1kg);Sustainable Beef (1kg);Recycled Beef (1kg)
Clothing,Sweater,94.86,3659,777,Eco Sweater;Sustainable Sweater;Recycled Sweater
Home Goods,Table,90.43,2772,781,Eco Table;Sustainable Table;Recycled Table
Home Goods,Chair,10.78,2914,338,Eco Chair;Sustainable Chair;Recycled Chair
Food,Bread,6.14,3161,215,Eco Bread;Sustainable Bread;Recycled Bread
Electronics,Tablet,7.05,916,579,Eco Tablet;Sustainable Tablet;Recycled Tablet
Clothing,Socks,76.51,1428,103,Eco Socks;Sustainable Socks;Recycled Socks
Home Goods,Pillow,32.71,4831,678,Eco Pillow;Sustainable Pillow;Recycled Pillow
Home Goods,Chair,59.88,4517,516,Eco Chair;Sustainable Chair;Recycled Chair
Electronics,Smartphone,81.35,3547,309,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Food,Eggs (12pcs),49.54,2158,89,Eco Eggs (12pcs);Sustainable Eggs (12pcs);Recycled Eggs (12pcs)
Food,Rice (1kg),20.85,266,565,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Groceries,Shampoo,50.07,2675,603,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Food,Bread,91.98,4722,221,Eco Bread;Sustainable Bread;Recycled Bread
Clothing,Sweater,64.82,3494,207,Eco Sweater;Sustainable Sweater;Recycled Sweater
Electronics,Smartphone,93.36,1361,272,Eco Smartphone;Sustainable Smartphone;Recycled Smartphone
Groceries,Toothpaste,19.86,1724,813,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Electronics,Tablet,84.07,1815,677,Eco Tablet;Sustainable Tablet;Recycled Tablet
Clothing,Cotton T-shirt,31.62,4987,693,Eco Cotton T-shirt;Sustainable Cotton T-shirt;Recycled Cotton T-shirt
Home Goods,Mattress,68.54,4460,413,Eco Mattress;Sustainable Mattress;Recycled Mattress
Groceries,Tissue Paper,63.68,4505,298,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Groceries,Detergent,94.11,3233,896,Eco Detergent;Sustainable Detergent;Recycled Detergent
Clothing,Jacket,91.21,1256,476,Eco Jacket;Sustainable Jacket;Recycled Jacket
Electronics,Smartwatch,93.33,4342,378,Eco Smartwatch;Sustainable Smartwatch;Recycled Smartwatch
Groceries,Shampoo,2.6,4437,796,Eco Shampoo;Sustainable Shampoo;Recycled Shampoo
Clothing,Jacket,50.03,4829,152,Eco Jacket;Sustainable Jacket;Recycled Jacket
Groceries,Toothpaste,29.84,2942,562,Eco Toothpaste;Sustainable Toothpaste;Recycled Toothpaste
Home Goods,Chair,59.99,1949,805,Eco Chair;Sustainable Chair;Recycled Chair
Food,Rice (1kg),26.3,3961,790,Eco Rice (1kg);Sustainable Rice (1kg);Recycled Rice (1kg)
Home Goods,Mattress,34.53,3626,930,Eco Mattress;Sustainable Mattress;Recycled Mattress
Home Goods,Table,86.01,658,540,Eco Table;Sustainable Table;Recycled Table
Clothing,Sweater,8.31,4200,636,Eco Sweater;Sustainable Sweater;Recycled Sweater
Clothing,Sweater,38.97,2303,460,Eco Sweater;Sustainable Sweater;Recycled Sweater
Food,Milk (1L),86.1,4824,175,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Clothing,Sweater,16.71,4573,133,Eco Sweater;Sustainable Sweater;Recycled Sweater
Groceries,Tissue Paper,94.19,2853,334,Eco Tissue Paper;Sustainable Tissue Paper;Recycled Tissue Paper
Home Goods,Pillow,26.67,2548,695,Eco Pillow;Sustainable Pillow;Recycled Pillow
Clothing,Jeans,52.27,1454,406,Eco Jeans;Sustainable Jeans;Recycled Jeans
Food,Milk (1L),3.76,483,37,Eco Milk (1L);Sustainable Milk (1L);Recycled Milk (1L)
Electronics,Tablet,24.66,928,854,Eco Tablet;Sustainable Tablet;Recycled Tablet
Home Goods,Lamp,74.5,668,562,Eco Lamp;Sustainable Lamp;Recycled Lamp
